,,,,,,,,,,
,,,,,,,,,,
Course,R.Y,Members R. retention,R.Graduates,R.Dropout,Retention Rate,Cmlt Graduation,Cmlt Dropout,A.Graduation Rate,A.Dropout Rate,Pandemic
ENGENHARIA CIVIL,2020,65,0,4,"72,2","0,0","27,8","0,0","4,4","1,0"
ENGENHARIA CIVIL,2021,64,1,0,"71,1","1,1","27,8","1,1","0,0","1,0"
ENGENHARIA CIVIL,2022,41,21,2,"45,6","24,4","30,0","23,3","2,2","1,0"
ENGENHARIA DE COMPUTAÇÃO,2018,36,0,4,"90,0","0,0","10,0","0,0","10,0","0,0"
ENGENHARIA DE COMPUTAÇÃO,2019,34,0,2,"85,0","0,0","15,0","0,0","5,0","0,0"
ENGENHARIA DE COMPUTAÇÃO,2020,32,0,2,"80,0","0,0","20,0","0,0","5,0","1,0"
ENGENHARIA DE COMPUTAÇÃO,2021,32,0,0,"80,0","0,0","20,0","0,0","0,0","1,0"
ENGENHARIA DE COMPUTAÇÃO,2022,28,3,1,"70,0","7,5","22,5","7,5","2,5","1,0"
ENGENHARIA DE PRODUÇÃO,2018,106,0,9,"92,2","0,0","7,8","0,0","7,8","0,0"
ENGENHARIA DE PRODUÇÃO,2019,97,0,9,"84,3","0,0","15,7","0,0","7,8","0,0"
ENGENHARIA DE PRODUÇÃO,2020,89,1,7,"77,4","0,9","21,7","0,9","6,1","1,0"
ENGENHARIA DE PRODUÇÃO,2021,86,1,2,"74,8","1,7","23,5","0,9","1,7","1,0"
ENGENHARIA DE PRODUÇÃO,2022,62,22,2,"53,9","20,9","25,2","19,1","1,7","1,0"
ENGENHARIA DE PRODUÇÃO,2018,55,0,7,"88,7","0,0","11,3","0,0","11,3","0,0"
ENGENHARIA DE PRODUÇÃO,2019,50,0,5,"80,6","0,0","19,4","0,0","8,1","0,0"
ENGENHARIA DE PRODUÇÃO,2020,45,0,5,"72,6","0,0","27,4","0,0","8,1","1,0"
ENGENHARIA DE PRODUÇÃO,2021,44,0,1,"71,0","0,0","29,0","0,0","1,6","1,0"
ENGENHARIA DE PRODUÇÃO,2022,32,12,0,"51,6","19,4","29,0","19,4","0,0","1,0"
ENGENHARIA FLORESTAL,2018,42,0,6,"87,5","0,0","12,5","0,0","12,5","0,0"
ENGENHARIA FLORESTAL,2019,35,0,7,"72,9","0,0","27,1","0,0","14,6","0,0"
ENGENHARIA FLORESTAL,2020,30,0,5,"62,5","0,0","37,5","0,0","10,4","1,0"
ENGENHARIA FLORESTAL,2021,30,0,0,"62,5","0,0","37,5","0,0","0,0","1,0"
ENGENHARIA FLORESTAL,2022,28,2,0,"58,3","4,2","37,5","4,2","0,0","1,0"
ENGENHARIA MECÂNICA,2018,68,0,5,"93,2","0,0","6,8","0,0","6,8","0,0"
ENGENHARIA MECÂNICA,2019,62,0,6,"84,9","0,0","15,1","0,0","8,2","0,0"
ENGENHARIA MECÂNICA,2020,53,0,9,"72,6","0,0","27,4","0,0","12,3","1,0"
ENGENHARIA MECÂNICA,2021,47,3,3,"64,4","4,1","31,5","4,1","4,1","1,0"
ENGENHARIA MECÂNICA,2022,43,3,1,"58,9","8,2","32,9","4,1","1,4","1,0"
ENGENHARIA ELÉTRICA,2018,73,0,7,"91,3","0,0","8,8","0,0","8,8","0,0"
ENGENHARIA ELÉTRICA,2019,66,0,7,"82,5","0,0","17,5","0,0","8,8","0,0"
ENGENHARIA ELÉTRICA,2020,55,1,10,"68,8","1,3","30,0","1,3","12,5","1,0"
ENGENHARIA ELÉTRICA,2021,51,0,4,"63,8","1,3","35,0","0,0","5,0","1,0"
ENGENHARIA ELÉTRICA,2022,41,8,2,"51,3","11,3","37,5","10,0","2,5","1,0"
ENGENHARIA AMBIENTAL,2018,48,0,5,"90,6","0,0","9,4","0,0","9,4","0,0"
ENGENHARIA AMBIENTAL,2019,36,0,12,"67,9","0,0","32,1","0,0","22,6","0,0"
ENGENHARIA AMBIENTAL,2020,32,0,3,"61,5","0,0","38,5","0,0","5,8","1,0"
ENGENHARIA AMBIENTAL,2021,30,0,2,"57,7","0,0","42,3","0,0","3,8","1,0"
ENGENHARIA AMBIENTAL,2022,25,5,0,"48,1","9,6","42,3","9,6","0,0","1,0"
ENGENHARIA CIVIL,2018,75,0,7,"91,5","0,0","8,5","0,0","8,5","0,0"
ENGENHARIA CIVIL,2019,67,0,8,"81,7","0,0","18,3","0,0","9,8","0,0"
ENGENHARIA CIVIL,2020,60,1,6,"73,2","1,2","25,6","1,2","7,3","1,0"
ENGENHARIA CIVIL,2021,59,0,1,"72,0","1,2","26,8","0,0","1,2","1,0"
ENGENHARIA CIVIL,2022,51,3,5,"62,2","4,9","32,9","3,7","6,1","1,0"
ENGENHARIA FLORESTAL,2018,73,2,5,"91,3","2,5","6,3","2,5","6,3","0,0"
ENGENHARIA FLORESTAL,2019,63,1,9,"78,8","3,8","17,5","1,3","11,3","0,0"
ENGENHARIA FLORESTAL,2020,60,0,3,"75,0","3,8","21,3","0,0","3,8","1,0"
ENGENHARIA FLORESTAL,2021,52,1,7,"65,0","5,0","30,0","1,3","8,8","1,0"
ENGENHARIA FLORESTAL,2022,44,2,6,"55,0","7,5","37,5","2,5","7,5","1,0"
ENGENHARIA DE PRODUÇÃO,2018,56,0,4,"93,3","0,0","6,7","0,0","6,7","0,0"
ENGENHARIA DE PRODUÇÃO,2019,50,1,5,"83,3","1,7","15,0","1,7","8,3","0,0"
ENGENHARIA DE PRODUÇÃO,2020,47,0,3,"78,3","1,7","20,0","0,0","5,0","1,0"
